Team1	Score1	Team2	Score2
orl	84	nop	101
dal	100	sas	101
hou	108	lal	90
mil	106	cha	108
phi	91	ind	103
bkn	105	bos	121
was	95	mia	107
atl	102	tor	109
min	101	mem	105
chi	104	nyk	80
det	79	den	89
hou	104	uta	93
lal	99	phx	119
gsw	95	sac	77
okc	89	por	106
was	105	orl	98
det	91	min	97
nyk	95	cle	90
uta	102	dal	120
okc	90	lac	93
mem	97	ind	89
cle	114	chi	108
phi	81	mil	93
sas	89	phx	94
por	94	sac	103
lac	118	lal	111
dal	109	nop	104
mem	71	cha	69
tor	108	orl	95
mia	114	phi	96
mil	97	was	108
ind	92	atl	102
bkn	102	det	90
bos	90	hou	104
chi	106	min	105
den	91	okc	102
phx	91	uta	118
lal	104	gsw	127
sac	98	lac	92
tor	102	mia	107
cha	93	nyk	96
gsw	95	por	90
hou	104	phi	93
okc	85	bkn	116
nop	81	mem	93
bos	113	dal	118
sac	110	den	105
uta	101	lac	107
mil	87	ind	81
hou	108	mia	91
was	98	nyk	83
okc	88	tor	100
orl	90	chi	98
cha	91	nop	100
cle	82	por	101
phx	112	lal	106
mia	89	cha	96
orl	91	phi	89
tor	110	bos	107
min	98	bkn	91
nyk	95	det	98
chi	95	mil	86
ind	94	was	96
atl	92	sas	94
mem	102	phx	91
cle	100	uta	102
den	109	sac	131
lac	104	gsw	121
sas	81	hou	98
dal	87	por	108
atl	119	cha	122
min	103	orl	112
chi	118	phi	115
ind	98	bos	101
nyk	99	bkn	110
mil	95	det	98
was	84	tor	103
mem	91	okc	89
sac	114	phx	112
dal	105	uta	82
cle	110	den	101
por	102	lac	106
was	97	ind	90
nyk	96	atl	103
min	92	mia	102
bos	106	chi	101
gsw	98	hou	87
mem	92	mil	93
nop	100	sas	99
orl	96	bkn	104
uta	97	det	96
sac	93	okc	101
phi	88	tor	120
mia	105	dal	96
gsw	95	phx	107
den	100	por	116
cha	92	lal	107
nop	111	cle	118
uta	86	ind	97
atl	91	nyk	85
det	91	chi	102
sas	89	lac	85
orl	100	tor	104
lal	102	mem	107
okc	78	mil	85
sac	98	dal	106
cha	100	por	102
sas	113	gsw	100
det	103	was	107
uta	97	atl	100
okc	109	bos	94
ind	81	mia	75
orl	97	nyk	95
lal	102	nop	109
por	130	den	113
bkn	104	phx	112
hou	113	min	101
sac	110	mem	111
chi	100	tor	93
phi	70	dal	123
bkn	99	gsw	107
den	108	ind	87
mil	85	orl	101
mia	103	atl	114
cle	122	bos	121
uta	102	nyk	100
phi	87	hou	88
min	91	nop	139
det	96	okc	89
cha	103	phx	95
sas	93	lal	80
orl	93	was	98
atl	94	cle	127
uta	93	tor	111
ind	99	chi	90
det	88	mem	95
min	117	dal	131
bkn	87	por	97
sas	91	sac	94
cha	87	gsw	112
phx	107	lac	120
den	93	nyk	109
mil	91	mia	84
hou	69	okc	65
gsw	136	lal	115
dal	107	cha	80
den	106	cle	97
phx	118	bos	114
mia	95	bkn	83
orl	107	det	93
hou	93	mem	119
phi	75	sas	100
nop	93	por	102
chi	105	lac	89
lal	114	atl	109
nyk	113	mil	117
okc	81	uta	98
nop	106	sac	100
sas	92	cle	90
cha	86	ind	88
lac	114	orl	90
bos	101	phi	90
dal	105	was	102
mil	122	bkn	118
phx	88	det	86
mem	92	tor	96
nyk	99	min	115
okc	100	den	107
lal	98	hou	92
lac	110	mia	93
chi	88	sac	103
orl	105	cha	100
phx	122	phi	96
det	89	atl	99
mil	82	tor	124
bos	100	mem	117
sas	121	min	92
bkn	94	okc	92
cle	78	was	91
lal	106	dal	140
nop	97	den	117
uta	88	gsw	101
chi	87	por	105
phx	106	ind	83
mia	99	orl	92
tor	110	cle	93
phi	83	nyk	91
dal	92	hou	95
sac	113	min	101
was	111	mil	100
bkn	87	sas	99
nop	106	uta	94
lac	91	mem	107
por	94	bos	88
cha	93	mia	94
gsw	91	okc	86
den	101	lal	94
lac	113	cha	92
orl	74	cle	106
por	114	phi	104
phx	100	tor	104
nyk	86	hou	91
ind	111	dal	100
chi	97	uta	95
atl	106	was	102
gsw	114	mia	97
det	86	mil	98
sac	99	nop	89
chi	109	den	114
por	105	cha	97
was	87	cle	113
gsw	111	orl	96
bkn	99	phi	91
nyk	102	dal	109
tor	126	atl	115
lac	104	det	98
sac	89	hou	102
mil	103	min	86
uta	82	okc	97
ind	100	sas	106
den	112	phx	120
mem	99	lal	93
chi	109	bos	102
gsw	106	cha	101
nop	91	atl	100
mil	104	det	88
dal	106	tor	102
lac	102	hou	85
nyk	78	okc	105
orl	83	ind	98
sac	104	sas	112
phx	97	den	122
mem	112	por	99
min	120	lal	119
dal	110	phi	103
nop	80	was	83
cha	75	atl	105
ind	97	cle	109
lac	112	uta	96
hou	117	mil	103
sas	111	bos	89
chi	102	bkn	84
gsw	104	det	93
mem	97	sac	85
mia	86	nyk	79
orl	93	phx	90
min	93	por	107
tor	122	lal	129
sas	109	phi	103
mia	86	was	107
den	103	uta	101
min	101	lac	127
mil	108	cle	111
bos	105	atl	109
lal	106	det	96
bkn	98	nyk	93
dal	132	chi	129
okc	104	nop	112
por	105	den	103
ind	99	phx	116
tor	117	sac	109
orl	97	gsw	98
chi	102	cha	95
lal	95	was	111
det	102	bos	109
sas	93	bkn	95
atl	112	mia	102
mem	96	hou	105
dal	107	mil	105
phi	85	min	77
tor	123	uta	104
orl	86	lac	114
cle	90	nyk	87
ind	82	por	88
nop	85	gsw	112
nyk	102	cha	103
okc	103	phi	91
den	89	was	119
lal	96	bos	113
atl	98	bkn	75
cle	105	tor	91
sas	107	mem	101
hou	114	min	112
phx	118	dal	106
mia	85	mil	109
orl	98	uta	93
ind	101	sac	102
phi	108	det	101
gsw	112	chi	102
phx	95	hou	100
min	101	sas	123
orl	105	sac	96
nop	100	lac	120
was	93	bos	101
den	84	atl	96
mia	87	mem	103
okc	96	det	94
mil	102	dal	125
por	103	nyk	99
nop	104	lal	87
atl	108	ind	92
bos	132	was	133
cle	110	bkn	88
den	107	tor	112
gsw	102	min	86
uta	92	sac	101
phx	120	lac	121
tor	101	cle	105
por	98	det	86
dal	105	mem	114
nyk	93	nop	104
mil	101	okc	114
mia	103	phx	97
sas	96	uta	100
sac	95	lal	98
bos	87	cha	96
lac	103	ind	96
was	91	orl	89
phi	79	atl	95
bkn	80	chi	105
por	82	min	90
nop	107	dal	112
nyk	95	sas	109
hou	93	gsw	105
mia	82	den	102
cle	94	okc	103
hou	113	sac	109
por	106	chi	115
lac	96	was	104
orl	81	atl	87
nyk	101	bos	95
phi	70	bkn	88
ind	94	tor	106
cha	107	mem	113
okc	111	min	92
cle	114	nop	119
det	105	phx	103
mia	100	uta	95
lal	112	sas	110
gsw	105	dal	98
bkn	114	cha	87
por	95	ind	85
atl	99	orl	100
lac	106	mil	111
mem	120	phi	115
den	96	hou	108
det	95	sac	90
gsw	128	nop	122
chi	93	mia	75
uta	84	was	93
lal	100	min	94
phx	88	okc	112
tor	95	nyk	90
sas	99	den	91
cha	88	cle	97
lal	91	ind	110
bos	105	phi	87
chi	86	atl	93
orl	82	tor	95
mil	96	phx	94
sas	95	por	108
det	91	lac	113
min	95	was	109
mia	95	bkn	91
gsw	98	mem	105
uta	111	nop	119
dal	107	nyk	87
okc	104	sac	92
phx	111	cha	106
atl	127	cle	98
orl	92	bos	109
dal	117	det	106
uta	105	mia	87
bkn	89	tor	105
mem	117	sas	116
mil	97	por	104
ind	100	lac	102
hou	115	den	111
nyk	97	chi	103
nop	99	hou	90
mil	108	sac	107
okc	109	gsw	114
uta	101	orl	94
cha	109	phi	91
min	98	bos	114
bkn	91	cle	95
tor	110	det	100
was	105	mia	103
chi	103	mem	97
por	129	sas	119
lac	106	den	109
okc	104	lal	103
phx	99	nyk	90
por	114	nop	88
uta	86	cha	104
atl	104	hou	97
sas	93	dal	99
ind	73	den	76
mil	102	lac	106
nyk	108	tor	118
mem	91	cle	105
lal	101	sac	108
det	105	bkn	110
bos	84	mia	100
phi	96	orl	88
phx	104	was	92
ind	100	min	96
nop	101	okc	99
den	82	cha	110
tor	120	chi	129
por	95	hou	110
uta	97	mem	91
atl	105	dal	102
lac	118	sas	125
sac	108	gsw	128
min	104	cle	125
nop	84	ind	96
bos	95	orl	100
chi	99	was	91
lac	104	atl	107
den	96	bkn	102
phi	91	mia	87
cha	108	mil	101
por	115	okc	111
dal	115	phx	124
gsw	105	lal	115
